Position,Driver,Team,Car No.,Laps,Time,Gap,Tyres,km/h
1,Oscar Piastri,McLaren,81,20,1'30.641,,S,216.498
2,George Russell,Mercedes,63,22,1'30.723,0.082,S,216.302
3,Lando Norris,McLaren,4,17,1'30.793,0.070,S,216.135
4,Max Verstappen,Red Bull Racing,1,15,1'30.817,0.024,S,216.078
5,Lewis Hamilton,Ferrari,44,21,1'30.927,0.110,S,215.817
6,Charles Leclerc,Ferrari,16,21,1'31.021,0.094,S,215.594
7,Isack Hadjar,Racing Bulls,6,20,1'31.079,0.058,S,215.456
8,Andrea Kimi Antonelli,Mercedes,12,22,1'31.103,0.024,S,215.400
9,Yuki Tsunoda,Racing Bulls,22,19,1'31.638,0.535,S,214.142
10,Alex Albon,Williams,23,20,1'31.706,0.068,S,213.983
