Position,Driver,Team,Car No.,Laps,Time,Gap,Tyres,km/h
1,Lando Norris,McLaren,4,28,1'24.485,,S,225.029
2,Max Verstappen,Red Bull Racing,1,30,1'24.493,0.008,S,225.007
3,Charles Leclerc,Ferrari,16,28,1'24.501,0.008,S,224.986
4,Andrea Kimi Antonelli,Mercedes,12,30,1'24.608,0.107,S,224.702
5,Nico Hulkenberg,Sauber,27,28,1'24.629,0.021,S,224.646
6,George Russell,Mercedes,63,29,1'24.733,0.104,S,224.370
7,Gabriel Bortoleto,Sauber,5,29,1'24.742,0.009,S,224.346
8,Oliver Bearman,Haas F1 Team,87,14,1'24.759,0.017,M,224.301
9,Carlos Sainz,Williams,55,27,1'24.771,0.012,S,224.270
10,Franco Colapinto,Alpine,43,28,1'24.855,0.084,S,224.048
11,Ryo Hirakawa,Haas F1 Team,50,28,1'24.934,0.079,M,223.839
12,Isack Hadjar,Racing Bulls,6,31,1'24.977,0.043,M,223.726
13,"P. Aron 
 
 Alpine",,61,27,1'25.204,0.227,S,223.130
14,Patricio O Ward,McLaren,89,28,1'25.246,0.042,M,223.020
15,Arvid Lindblad,Red Bull Racing,36,26,1'25.256,0.010,S,222.994
16,Arthur Leclerc,Ferrari,39,27,1'25.360,0.104,S,222.722
17,Ayumu Iwasa,Racing Bulls,40,30,1'25.475,0.115,S,222.422
18,"L. Browning 
 
 Williams",,46,18,1'25.490,0.015,S,222.383
19,Jak Crawford,Aston Martin Racing,35,24,1'25.889,0.399,M,221.350
20,"C. Shields 
 
 Aston Martin Racing",,34,22,1'26.432,0.543,S,219.960
