Position,Driver,Team,Car No.,Laps,Time,Gap,Tyres,km/h
1,Max Verstappen,Red Bull Racing,1,6,1'26.983,,S,240.336
2,Lando Norris,McLaren,4,6,1'26.995,0.012,S,240.303
3,Oscar Piastri,McLaren,81,6,1'27.027,0.032,S,240.215
4,Charles Leclerc,Ferrari,16,6,1'27.299,0.272,S,239.466
5,George Russell,Mercedes,63,6,1'27.318,0.019,S,239.414
6,Andrea Kimi Antonelli,Mercedes,12,6,1'27.555,0.237,S,238.766
7,Isack Hadjar,Racing Bulls,6,6,1'27.569,0.014,S,238.728
8,Lewis Hamilton,Ferrari,44,6,1'27.610,0.041,S,238.616
9,Alex Albon,Williams,23,6,1'27.615,0.005,S,238.602
10,Oliver Bearman,Haas F1 Team,87,6,1'27.867,0.252,S,237.918
