Position,Driver,Team,Car No.,Laps,Time,Gap,Tyres,km/h
1,Andrea Kimi Antonelli,Mercedes,12,3,1'26.482,,S,225.286
2,Oscar Piastri,McLaren,81,3,1'26.527,0.045,S,225.169
3,Lando Norris,McLaren,4,3,1'26.582,0.055,S,225.025
4,Max Verstappen,Red Bull Racing,1,6,1'26.737,0.155,S,224.623
5,George Russell,Mercedes,63,3,1'26.791,0.054,S,224.484
6,Charles Leclerc,Ferrari,16,3,1'26.808,0.017,S,224.440
7,Lewis Hamilton,Ferrari,44,3,1'27.030,0.222,S,223.867
8,Alex Albon,Williams,23,3,1'27.193,0.163,S,223.449
9,Isack Hadjar,Racing Bulls,6,3,1'27.543,0.350,S,222.555
10,Fernando Alonso,Aston Martin Racing,14,3,1'27.790,0.247,M,221.929
