Position,Driver,Team,Car No.,Laps,Time,Gap,Tyres,km/h
1,Max Verstappen,Red Bull Racing,1,18,1'26.204,,S,226.012
2,Lando Norris,McLaren,4,21,1'26.269,0.065,S,225.842
3,Andrea Kimi Antonelli,Mercedes,12,20,1'26.271,0.002,S,225.837
4,Oscar Piastri,McLaren,81,16,1'26.375,0.104,S,225.565
5,George Russell,Mercedes,63,20,1'26.385,0.010,S,225.539
6,Carlos Sainz,Williams,55,20,1'26.569,0.184,S,225.059
7,Alex Albon,Williams,23,20,1'26.682,0.113,S,224.766
8,Charles Leclerc,Ferrari,16,20,1'26.754,0.072,S,224.579
9,Esteban Ocon,Haas F1 Team,31,21,1'26.824,0.070,S,224.398
10,Yuki Tsunoda,Red Bull Racing,22,21,1'26.943,0.119,S,224.091
